slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
31,31,9.0,171.7575578,42.452935,0,0,22.8740234375,3,2000,TARGET,4064.2117197526263,9454.930143862888,A
280,334,SDSSJ112701.09+422708.7,171.75457333,42.45241872,0,0,22.451919555664062,6,2000,TARGET,4083.752438494018,9474.48028473399,A
838,10339,SDSSJ112701.09+422708.7,171.75457333,42.45241872,0,0,22.451919555664062,6,2000,TARGET,4083.752438494018,9474.48028473399,A
38,38,23.0,171.7423236,42.4566519,0,0,21.862218856811523,3,2000,TARGET,4248.459560286682,9639.266924691823,A
607,1087,SDSSJ112708.84+422500.8,171.78683435,42.41691624,0,0,22.733680725097656,6,2000,TARGET,3325.361573276832,8715.722984153532,A
1165,11101,SDSSJ112708.84+422500.8,171.78683435,42.41691624,0,0,22.733680725097656,6,2000,TARGET,3325.361573276832,8715.722984153532,A
277,331,SDSSJ112700.51+422632.1,171.75216049,42.44225879,0,0,20.9773006439209,6,2000,TARGET,3970.026074341303,9360.69886596159,A
835,10336,SDSSJ112700.51+422632.1,171.75216049,42.44225879,0,0,20.9773006439209,6,2000,TARGET,3970.026074341303,9360.69886596159,A
513,980,SDSSJ112706.07+422513.6,171.77530952,42.4204464,0,0,21.98921012878418,6,2000,TARGET,3474.6250113565693,8865.058452151077,A
1071,10994,SDSSJ112706.07+422513.6,171.77530952,42.4204464,0,0,21.98921012878418,6,2000,TARGET,3474.6250113565693,8865.058452151077,A
143,150,SDSSJ112648.84+422833.0,171.70353584,42.47585234,0,0,20.419729232788086,6,2000,TARGET,4846.769106794749,10237.865337437433,A
697,10150,SDSSJ112648.84+422833.0,171.70353584,42.47585234,0,0,20.419729232788086,6,2000,TARGET,4846.769106794749,10237.865337437433,A
547,1014,SDSSJ112714.56+422306.4,171.81068618,42.38513396,0,0,20.0672607421875,6,2000,TARGET,2689.8244391439825,8079.878668730103,A
1105,11028,SDSSJ112714.56+422306.4,171.81068618,42.38513396,0,0,20.0672607421875,6,2000,TARGET,2689.8244391439825,8079.878668730103,A
507,974,SDSSJ112704.42+422500.0,171.76842508,42.4166897,0,0,22.271570205688477,6,2000,TARGET,3485.7715348798397,8876.210205788575,A
1065,10988,SDSSJ112704.42+422500.0,171.76842508,42.4166897,0,0,22.271570205688477,6,2000,TARGET,3485.7715348798397,8876.210205788575,A
450,913,SDSSJ112706.63+422422.3,171.77766144,42.4062221,0,0,21.460960388183594,6,2000,TARGET,3264.460727468785,8654.79243355006,A
1008,10927,SDSSJ112706.63+422422.3,171.77766144,42.4062221,0,0,21.460960388183594,6,2000,TARGET,3264.460727468785,8654.79243355006,A
236,290,SDSSJ112651.19+422720.3,171.71331289,42.45565187,0,0,18.55219078063965,6,2000,TARGET,4492.279737763166,9883.204496051632,A
794,10295,SDSSJ112651.19+422720.3,171.71331289,42.45565187,0,0,18.55219078063965,6,2000,TARGET,4492.279737763166,9883.204496051632,A
698,10152,SDSSJ112645.72+422815.6,171.69053875,42.47101458,0,0,17.497970581054688,6,2000,TARGET,4897.858298674179,10288.978905283186,A
245,299,SDSSJ112647.64+422741.8,171.6985236,42.46163834,0,0,20.231529235839844,6,2000,TARGET,4702.837554648778,10093.863883907403,A
803,10304,SDSSJ112647.64+422741.8,171.6985236,42.46163834,0,0,20.231529235839844,6,2000,TARGET,4702.837554648778,10093.863883907403,A
499,966,SDSSJ112702.02+422433.7,171.75841799,42.40938576,0,0,21.556840896606445,6,2000,TARGET,3477.653229428754,8868.087627419543,A
