Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
45.0,slitA045_33.0t100837.fits,,0.3521,0.352,,171.799671,42.460909,47,21.06100082397461,47,33.0,A
46.0,slitA046_54.0t100838.fits,,?,?,,171.791196,42.464928,65,23.086708068847656,65,54.0,A
47.0,slitA047_81.0t100839.fits,,0.3478,0.348,,171.780776,42.470464,77,20.750194549560547,77,81.0,A
48.0,slitA048_1.0t100840.fits,,0.4093,0.409,0.41,171.80715,42.445832,29,19.80826759338379,29,1.0,A
49.0,slitA049_29.0t100841.fits,,?,?,,171.785346,42.459451,43,22.321908950805664,43,29.0,A
50.0,slitA050_r203t100842.fits,do hw,0.4474,0.4475,,171.765963,42.471183,8,20.266929626464844,8,r203,A
51.0,slitA051_r202t100843.fits,,0.3441,0.344,,171.762619,42.469892,7,20.26719093322754,7,r202,A
52.0,slitA052_r206t100844.fits,,0.4469,0.4465,,171.75898,42.468459,11,20.054931640625,11,r206,A
53.0,slitA053_123.0t100845.fits,,?,?,,171.741853,42.479273,99,22.686527252197266,99,123.0,A
54.0,slitA054_20.0t100846.fits,re-try,0.4954?,?,,171.766213,42.456326,36,21.678531646728516,36,20.0,A
55.0,slitA055_109.0t100847.fits,,0.4125,0.411,,171.736841,42.477223,94,20.914196014404297,94,109.0,A
56.0,slitA056_28.0t100848.fits,re-try,0.7219?,0.723,,171.753684,42.459667,42,21.895809173583984,42,28.0,A
57.0,slitA057_9.0t100849.fits,,?,?,,171.757558,42.452935,31,22.8740234375,31,9.0,A
58.0,slitA058_SDSSJ112701.09+422708.7t100850.fits,,0.4098,0.412,,171.754573,42.452419,280,22.451919555664062,334,SDSSJ112701.09+422708.7,A
58.0,slitA058_SDSSJ112701.09+422708.7t100850.fits,,0.4098,0.412,,171.754573,42.452419,838,22.451919555664062,10339,SDSSJ112701.09+422708.7,A
59.0,slitA059_SDSSJ112701.09+422708.7t100851.fits,,0.41,0.41,,171.754573,42.452419,280,22.451919555664062,334,SDSSJ112701.09+422708.7,A
59.0,slitA059_SDSSJ112701.09+422708.7t100851.fits,,0.41,0.41,,171.754573,42.452419,838,22.451919555664062,10339,SDSSJ112701.09+422708.7,A
60.0,slitA060_23.0t100852.fits,re-try,0.6203,0.62,?,171.742324,42.456652,38,21.862218856811523,38,23.0,A
61.0,slitA061_SDSSJ112708.84+422500.8t100853.fits,re-try,0.5437?,?,?,171.786834,42.416916,607,22.733680725097656,1087,SDSSJ112708.84+422500.8,A
