slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
102,181,SDSSJ112653.63+422442.0,171.72346301,42.41168025,0,0,19.751670837402344,5,2000,TARGET,4704.752740737402,10095.77956991506,A
81,85,SDSSJ112648.85+422710.7,171.70354649,42.45299482,0,0,19.689369201660156,5,2000,TARGET,3920.834043627579,9311.482310237378,A
82,86,SDSSJ112650.12+422650.6,171.70884268,42.44741128,0,0,19.54084014892578,5,2000,TARGET,4040.1911464652417,9430.897133570805,A
64,65,SDSSJ112653.78+422548.8,171.72412064,42.43024054,0,0,20.223649978637695,5,2000,TARGET,4401.926464653663,9792.807347223032,A
78,82,SDSSJ112649.69+422747.6,171.70705114,42.46323317,0,0,18.63991928100586,5,2000,TARGET,3769.748424418868,9160.32397323461,A
60,61,SDSSJ112648.84+422833.0,171.70353584,42.47585234,0,0,20.419729232788086,5,2000,TARGET,3543.2500754513126,8933.716304046733,A
84,88,SDSSJ112653.38+422704.3,171.72244601,42.4512132,0,0,19.956119537353516,5,2000,TARGET,4047.2927357606623,9438.0025587683,A
66,67,SDSSJ112646.79+423013.5,171.69497081,42.50375724,0,0,19.16731071472168,5,2000,TARGET,3037.944877650941,8428.167175568567,A
147,2176,SDSSJ112645.90+423101.1,171.69126,42.51699973,0,0,20.221269607543945,5,2000,TARGET,2799.7611256065193,8189.86843967534,A
149,2178,SDSSJ112646.80+423114.6,171.69503814,42.52074968,0,0,19.916290283203125,5,2000,TARGET,2757.243034904975,8147.32990839281,A
95,171,SDSSJ112702.25+422502.8,171.75937914,42.41745643,0,0,19.120330810546875,5,2000,TARGET,4793.864073742004,10184.934841331406,A
86,90,SDSSJ112658.74+422648.4,171.74477715,42.44678725,0,0,20.302379608154297,5,2000,TARGET,4235.262170151212,9626.063122193491,A
14,14,64.0,171.7380624,42.469385,0,0,18.994394302368164,1,2000,TARGET,3827.96572765061,9218.569989483854,A
15,15,65.0,171.740059,42.4699909,0,0,19.01871681213379,1,2000,TARGET,3828.2853845530713,9218.889818633335,A
103,185,SDSSJ112706.41+422456.6,171.77671227,42.41572564,0,0,19.512109756469727,5,2000,TARGET,4911.716151959146,10302.843988114868,A
12,12,62.0,171.7476386,42.4695897,0,0,19.04693603515625,1,2000,TARGET,3874.082078487562,9264.708673103076,A
96,172,SDSSJ112707.68+422500.9,171.78201166,42.41694104,0,0,19.614309310913086,5,2000,TARGET,4919.071177013854,10310.202582397453,A
131,2153,SDSSJ112656.10+423019.9,171.73376116,42.50554664,0,0,19.872020721435547,5,2000,TARGET,3208.977541073859,8599.282854303492,A
18,18,68.0,171.7589922,42.4684574,0,0,20.054931640625,1,2000,TARGET,3951.5110620834157,9342.175065419247,A
19,19,69.0,171.7604152,42.4698275,0,0,20.01055145263672,1,2000,TARGET,3936.3019776194055,9326.958627654427,A
17,17,67.0,171.7626264,42.4698934,0,0,20.26719093322754,1,2000,TARGET,3946.675066066252,9337.336718082679,A
33,33,128.0,171.7639032,42.4823027,0,0,20.42308807373047,1,2000,TARGET,3748.784569580085,9139.35057014434,A
50,50,114931,171.761742,42.494106,0,0,20.381999969482422,1,2000,TARGET,3542.9876735697,8933.454213128796,A
152,2181,SDSSJ112703.19+422941.1,171.7633285,42.49476113,0,0,20.070369720458984,5,2000,TARGET,3540.434441608013,8930.899724653333,A
35,35,130.0,171.7739483,42.4819124,0,0,20.369003295898438,1,2000,TARGET,3807.4056085447155,9197.999815204497,A
31,31,120.0,171.7774025,42.4796378,0,0,20.37301254272461,1,2000,TARGET,3862.838514618267,9253.459468231044,A
3,3,8.0,171.7942464,42.4543401,0,0,19.59749984741211,1,2000,TARGET,4366.930084831271,9757.794514449324,A
5,5,16.0,171.7956672,42.4560009,0,0,19.990631103515625,1,2000,TARGET,4346.9848537950675,9737.839608577147,A
6,6,17.0,171.7981903,42.4556843,0,0,20.072301864624023,1,2000,TARGET,4365.316926978515,9756.180495311257,A
2,2,5.0,171.8023582,42.4522331,0,0,20.351926803588867,1,2000,TARGET,4443.784267605926,9834.685699378657,A
93,121,SDSSJ112716.93+422529.6,171.82058198,42.42491089,0,0,20.55714988708496,5,2000,TARGET,4987.903817429581,10379.068046074854,A
132,2154,SDSSJ112707.51+422948.5,171.78130937,42.49682548,0,0,19.809059143066406,5,2000,TARGET,3600.0328994612078,8990.526643077443,A
154,2183,SDSSJ112705.76+423047.2,171.77403221,42.51311119,0,0,20.231210708618164,5,2000,TARGET,3293.6715560201033,8684.017257623425,A
11,11,55.0,171.8031496,42.4675891,0,0,19.588022232055664,1,2000,TARGET,4195.252192168393,9586.033351752754,A
92,120,SDSSJ112714.80+422737.7,171.81167844,42.4604948,0,0,19.561180114746094,5,2000,TARGET,4356.430541724019,9747.289447111845,A
142,2169,SDSSJ112713.78+422816.5,171.80743082,42.47126948,0,0,19.71139907836914,5,2000,TARGET,4157.026976279412,9547.789501987421,A
21,21,79.0,171.810162,42.470574,0,0,20.038715362548828,1,2000,TARGET,4182.723559611979,9573.498432035405,A
