spectrumid,coordinates
slitA045_114931t100665.fits,"171.761742, 42.494106"
slitA073_112819t100693.fits,"171.841411, 42.509197"
slitA025_SDSSJ112650.12+422650.6t100645.fits,"171.70884268, 42.44741128"
slitB022_SDSSJ112710.14+421403.7t100737.fits,"171.79228888, 42.2343647"
slitB028_SDSSJ112709.74+421821.4t100743.fits,"171.79058852, 42.30594826"
slitB012_SDSSJ112702.07+421332.5t100727.fits,"171.7586496, 42.22570964"
slitA030_SDSSJ112646.79+423013.5t100650.fits,"171.69497081, 42.50375724"
slitA017_SDSSJ112643.25+422548.8t100637.fits,"171.68022444, 42.43023546"
slitB005_SDSSJ112658.81+421206.3t100720.fits,"171.74508154, 42.20176192"
slitA036_65.0t100656.fits,"171.740059, 42.4699909"
slitA065_53.0t100685.fits,"171.8351178, 42.4664458"
slitB060_SDSSJ112745.04+421813.3t100775.fits,"171.93770538, 42.30370375"
slitB059_SDSSJ112739.82+422008.8t100774.fits,"171.91592831, 42.33577797"
slitB026_SDSSJ112708.87+421717.9t100741.fits,"171.78698478, 42.28830686"
slitA074_112819t100694.fits,"171.841411, 42.509197"
slitA028_SDSSJ112648.84+422833.0t100648.fits,"171.70353584, 42.47585234"
slitB011_SDSSJ112657.72+421440.2t100726.fits,"171.74052174, 42.2445219"
slitB017_SDSSJ112704.75+421421.2t100732.fits,"171.76980388, 42.23923102"
slitA039_SDSSJ112707.68+422500.9t100659.fits,"171.78201166, 42.41694104"
slitA053_SDSSJ112716.93+422529.6t100673.fits,"171.82058198, 42.42491089"
slitA055_SDSSJ112705.76+423047.2t100675.fits,"171.77403221, 42.51311119"
slitA066_152.0t100686.fits,"171.8199836, 42.4966867"
slitA043_67.0t100663.fits,"171.7626264, 42.4698934"
slitA040_SDSSJ112656.10+423019.9t100660.fits,"171.73376116, 42.50554664"
slitA003_SDSSJ112632.88+422331.2t100623.fits,"171.63701818, 42.39201407"
slitA042_69.0t100662.fits,"171.7604152, 42.4698275"
slitA076_113026t100696.fits,"171.847517, 42.506334"
slitB063_SDSSJ112742.18+422105.5t100778.fits,"171.92578877, 42.35154615"
slitB034_SDSSJ112717.99+421635.3t100749.fits,"171.82498297, 42.27647345"
slitB027_SDSSJ112712.82+421643.4t100742.fits,"171.80345805, 42.27874634"
slitB064_SDSSJ112753.65+421640.9t100779.fits,"171.97355491, 42.27805431"
slitA061_132.0t100681.fits,"171.8127133, 42.4829533"
slitA090_SDSSJ112740.40+422800.9t100710.fits,"171.91834297, 42.46692305"
slitA033_SDSSJ112702.25+422502.8t100653.fits,"171.75937914, 42.41745643"
slitA056_55.0t100676.fits,"171.8031496, 42.4675891"
slitA089_SDSSJ112734.78+423014.6t100709.fits,"171.89493154, 42.50407861"
slitA051_17.0t100671.fits,"171.7981903, 42.4556843"
slitA077_118788t100697.fits,"171.873325, 42.471015"
slitB057_SDSSJ112739.80+421855.5t100772.fits,"171.91585125, 42.31541941"
slitA012_SDSSJ112643.49+422339.4t100632.fits,"171.68122768, 42.39428059"
slitA072_111783t100692.fits,"171.835026, 42.515607"
slitB048_SDSSJ112736.51+421509.7t100763.fits,"171.90215894, 42.25269651"
slitA022_SDSSJ112645.42+422756.1t100642.fits,"171.68927283, 42.46560959"
slitB067_SDSSJ112748.42+422014.7t100782.fits,"171.95176845, 42.337429"
