spectrum_#,spectrum_id,name,side,targetnum,ra,dec,i_mag,neel,sarayu,reagen,brenda
51.0,slitA051_r202t100843.fits,r202,A,7,171.762619,42.469892,20.27,,0.3441,0.344,
52.0,slitA052_r206t100844.fits,r206,A,11,171.75898,42.468459,20.05,,0.4469,0.4465,
53.0,slitA053_123.0t100845.fits,123.0,A,99,171.741853,42.479273,22.69,,?,?,
54.0,slitA054_20.0t100846.fits,20.0,A,36,171.766213,42.456326,21.68,re-try,0.4954?,?,
55.0,slitA055_109.0t100847.fits,109.0,A,94,171.736841,42.477223,20.91,,0.4125,0.411,
56.0,slitA056_28.0t100848.fits,28.0,A,42,171.753684,42.459667,21.9,re-try,0.7219?,0.723,
57.0,slitA057_9.0t100849.fits,9.0,A,31,171.757558,42.452935,22.87,,?,?,
58.0,slitA058_SDSSJ112701.09+422708.7t100850.fits,SDSSJ112701.09+422708.7,A,334,171.754573,42.452419,22.45,,0.4098,0.412,
58.0,slitA058_SDSSJ112701.09+422708.7t100850.fits,SDSSJ112701.09+422708.7,A,10339,171.754573,42.452419,22.45,,0.4098,0.412,
59.0,slitA059_SDSSJ112701.09+422708.7t100851.fits,SDSSJ112701.09+422708.7,A,334,171.754573,42.452419,22.45,,0.41,0.41,
59.0,slitA059_SDSSJ112701.09+422708.7t100851.fits,SDSSJ112701.09+422708.7,A,10339,171.754573,42.452419,22.45,,0.41,0.41,
60.0,slitA060_23.0t100852.fits,23.0,A,38,171.742324,42.456652,21.86,re-try,0.6203,0.62,?
61.0,slitA061_SDSSJ112708.84+422500.8t100853.fits,SDSSJ112708.84+422500.8,A,1087,171.786834,42.416916,22.73,re-try,0.5437?,?,?
61.0,slitA061_SDSSJ112708.84+422500.8t100853.fits,SDSSJ112708.84+422500.8,A,11101,171.786834,42.416916,22.73,re-try,0.5437?,?,?
62.0,slitA062_SDSSJ112708.84+422500.8t100854.fits,SDSSJ112708.84+422500.8,A,1087,171.786834,42.416916,22.73,re-try,0.5437?,?,?
62.0,slitA062_SDSSJ112708.84+422500.8t100854.fits,SDSSJ112708.84+422500.8,A,11101,171.786834,42.416916,22.73,re-try,0.5437?,?,?
63.0,slitA063_SDSSJ112700.51+422632.1t100855.fits,SDSSJ112700.51+422632.1,A,331,171.75216,42.442259,20.98,re-try,0.3471,0.347,?
63.0,slitA063_SDSSJ112700.51+422632.1t100855.fits,SDSSJ112700.51+422632.1,A,10336,171.75216,42.442259,20.98,re-try,0.3471,0.347,?
64.0,slitA064_SDSSJ112700.51+422632.1t100856.fits,SDSSJ112700.51+422632.1,A,331,171.75216,42.442259,20.98,re-try,0.3471,0.347,?
64.0,slitA064_SDSSJ112700.51+422632.1t100856.fits,SDSSJ112700.51+422632.1,A,10336,171.75216,42.442259,20.98,re-try,0.3471,0.347,?
65.0,slitA065_SDSSJ112706.07+422513.6t100857.fits,SDSSJ112706.07+422513.6,A,980,171.77531,42.420446,21.99,,0.4405,0.44,
65.0,slitA065_SDSSJ112706.07+422513.6t100857.fits,SDSSJ112706.07+422513.6,A,10994,171.77531,42.420446,21.99,,0.4405,0.44,
66.0,slitA066_SDSSJ112706.07+422513.6t100858.fits,SDSSJ112706.07+422513.6,A,980,171.77531,42.420446,21.99,re-try,0.4405,0.44,
66.0,slitA066_SDSSJ112706.07+422513.6t100858.fits,SDSSJ112706.07+422513.6,A,10994,171.77531,42.420446,21.99,re-try,0.4405,0.44,
67.0,slitA067_SDSSJ112648.84+422833.0t100859.fits,SDSSJ112648.84+422833.0,A,150,171.703536,42.475852,20.42,,0.4712,0.4715,
67.0,slitA067_SDSSJ112648.84+422833.0t100859.fits,SDSSJ112648.84+422833.0,A,10150,171.703536,42.475852,20.42,,0.4712,0.4715,
68.0,slitA068_SDSSJ112648.84+422833.0t100860.fits,SDSSJ112648.84+422833.0,A,150,171.703536,42.475852,20.42,similar to before,0.4712,0.4715,
68.0,slitA068_SDSSJ112648.84+422833.0t100860.fits,SDSSJ112648.84+422833.0,A,10150,171.703536,42.475852,20.42,similar to before,0.4712,0.4715,
69.0,slitA069_SDSSJ112714.56+422306.4t100861.fits,SDSSJ112714.56+422306.4,A,1014,171.810686,42.385134,20.07,,0.3739,0.373,
69.0,slitA069_SDSSJ112714.56+422306.4t100861.fits,SDSSJ112714.56+422306.4,A,11028,171.810686,42.385134,20.07,,0.3739,0.373,
70.0,slitA070_SDSSJ112714.56+422306.4t100862.fits,SDSSJ112714.56+422306.4,A,1014,171.810686,42.385134,20.07,similar to before,0.3739,0.3732,
70.0,slitA070_SDSSJ112714.56+422306.4t100862.fits,SDSSJ112714.56+422306.4,A,11028,171.810686,42.385134,20.07,similar to before,0.3739,0.3732,
71.0,slitA071_SDSSJ112704.42+422500.0t100863.fits,SDSSJ112704.42+422500.0,A,974,171.768425,42.41669,22.27,,0.342,0.3425,
71.0,slitA071_SDSSJ112704.42+422500.0t100863.fits,SDSSJ112704.42+422500.0,A,10988,171.768425,42.41669,22.27,,0.342,0.3425,
72.0,slitA072_SDSSJ112704.42+422500.0t100864.fits,SDSSJ112704.42+422500.0,A,974,171.768425,42.41669,22.27,similar to before,0.342,0.3425,
72.0,slitA072_SDSSJ112704.42+422500.0t100864.fits,SDSSJ112704.42+422500.0,A,10988,171.768425,42.41669,22.27,similar to before,0.342,0.3425,
73.0,slitA073_SDSSJ112706.63+422422.3t100865.fits,SDSSJ112706.63+422422.3,A,913,171.777661,42.406222,21.46,,0.4104,0.4105,
73.0,slitA073_SDSSJ112706.63+422422.3t100865.fits,SDSSJ112706.63+422422.3,A,10927,171.777661,42.406222,21.46,,0.4104,0.4105,
74.0,slitA074_SDSSJ112706.63+422422.3t100866.fits,SDSSJ112706.63+422422.3,A,913,171.777661,42.406222,21.46,similar to before,0.4104,0.4105,
74.0,slitA074_SDSSJ112706.63+422422.3t100866.fits,SDSSJ112706.63+422422.3,A,10927,171.777661,42.406222,21.46,similar to before,0.4104,0.4105,
75.0,slitA075_SDSSJ112651.19+422720.3t100867.fits,SDSSJ112651.19+422720.3,A,290,171.713313,42.455652,18.55,re-try,0.3889,0.325,
75.0,slitA075_SDSSJ112651.19+422720.3t100867.fits,SDSSJ112651.19+422720.3,A,10295,171.713313,42.455652,18.55,re-try,0.3889,0.325,
76.0,slitA076_SDSSJ112651.19+422720.3t100868.fits,SDSSJ112651.19+422720.3,A,290,171.713313,42.455652,18.55,similar to before,0.3889,0.335,
76.0,slitA076_SDSSJ112651.19+422720.3t100868.fits,SDSSJ112651.19+422720.3,A,10295,171.713313,42.455652,18.55,similar to before,0.3889,0.335,
77.0,slitA077_SDSSJ112645.72+422815.6t100869.fits,SDSSJ112645.72+422815.6,A,10152,171.690539,42.471015,17.5,,0.1206,0.121,
78.0,slitA078_SDSSJ112647.64+422741.8t100870.fits,SDSSJ112647.64+422741.8,A,299,171.698524,42.461638,20.23,,0.2753,0.275,
78.0,slitA078_SDSSJ112647.64+422741.8t100870.fits,SDSSJ112647.64+422741.8,A,10304,171.698524,42.461638,20.23,,0.2753,0.275,
79.0,slitA079_SDSSJ112647.64+422741.8t100871.fits,SDSSJ112647.64+422741.8,A,299,171.698524,42.461638,20.23,similar to before,0.2753,0.274,
79.0,slitA079_SDSSJ112647.64+422741.8t100871.fits,SDSSJ112647.64+422741.8,A,10304,171.698524,42.461638,20.23,similar to before,0.2753,0.274,
80.0,slitA080_SDSSJ112702.02+422433.7t100872.fits,SDSSJ112702.02+422433.7,A,966,171.758418,42.409386,21.56,,?,?,
80.0,slitA080_SDSSJ112702.02+422433.7t100872.fits,SDSSJ112702.02+422433.7,A,10980,171.758418,42.409386,21.56,,?,?,
81.0,slitA081_SDSSJ112702.02+422433.7t100873.fits,SDSSJ112702.02+422433.7,A,966,171.758418,42.409386,21.56,,?,?,
81.0,slitA081_SDSSJ112702.02+422433.7t100873.fits,SDSSJ112702.02+422433.7,A,10980,171.758418,42.409386,21.56,,?,?,
82.0,slitA082_SDSSJ112704.00+422355.4t100874.fits,SDSSJ112704.00+422355.4,A,921,171.766675,42.398738,24.94,,?,?,
82.0,slitA082_SDSSJ112704.00+422355.4t100874.fits,SDSSJ112704.00+422355.4,A,10935,171.766675,42.398738,24.94,,?,?,
83.0,slitA083_SDSSJ112704.00+422355.4t100875.fits,SDSSJ112704.00+422355.4,A,921,171.766675,42.398738,24.94,re-try,0.371?,?,
83.0,slitA083_SDSSJ112704.00+422355.4t100875.fits,SDSSJ112704.00+422355.4,A,10935,171.766675,42.398738,24.94,re-try,0.371?,?,
84.0,slitA084_SDSSJ112659.22+422443.0t100876.fits,SDSSJ112659.22+422443.0,A,959,171.746757,42.411949,21.94,re-try,0.707?,?,
84.0,slitA084_SDSSJ112659.22+422443.0t100876.fits,SDSSJ112659.22+422443.0,A,10973,171.746757,42.411949,21.94,re-try,0.707?,?,
85.0,slitA085_SDSSJ112659.22+422443.0t100877.fits,SDSSJ112659.22+422443.0,A,959,171.746757,42.411949,21.94,similar to before,0.707?,?,
85.0,slitA085_SDSSJ112659.22+422443.0t100877.fits,SDSSJ112659.22+422443.0,A,10973,171.746757,42.411949,21.94,similar to before,0.707?,?,
86.0,slitA086_SDSSJ112653.52+422540.8t100878.fits,SDSSJ112653.52+422540.8,A,231,171.723006,42.428012,22.59,,0.762,?,
86.0,slitA086_SDSSJ112653.52+422540.8t100878.fits,SDSSJ112653.52+422540.8,A,10234,171.723006,42.428012,22.59,,0.762,?,
87.0,slitA087_SDSSJ112653.52+422540.8t100879.fits,SDSSJ112653.52+422540.8,A,231,171.723006,42.428012,22.59,,0.762,?,
87.0,slitA087_SDSSJ112653.52+422540.8t100879.fits,SDSSJ112653.52+422540.8,A,10234,171.723006,42.428012,22.59,,0.762,?,
88.0,slitA088_SDSSJ112654.60+422513.3t100880.fits,SDSSJ112654.60+422513.3,A,192,171.727538,42.420364,21.44,,?,?,
88.0,slitA088_SDSSJ112654.60+422513.3t100880.fits,SDSSJ112654.60+422513.3,A,10193,171.727538,42.420364,21.44,,?,?,
89.0,slitA089_SDSSJ112654.60+422513.3t100881.fits,SDSSJ112654.60+422513.3,A,192,171.727538,42.420364,21.44,,?,?,
89.0,slitA089_SDSSJ112654.60+422513.3t100881.fits,SDSSJ112654.60+422513.3,A,10193,171.727538,42.420364,21.44,,?,?,
90.0,slitA090_SDSSJ112654.80+422500.7t100882.fits,SDSSJ112654.80+422500.7,A,184,171.728334,42.416874,23.33,,?,?,
90.0,slitA090_SDSSJ112654.80+422500.7t100882.fits,SDSSJ112654.80+422500.7,A,10185,171.728334,42.416874,23.33,,?,?,
91.0,slitA091_SDSSJ112654.80+422500.7t100883.fits,SDSSJ112654.80+422500.7,A,184,171.728334,42.416874,23.33,,?,?,
